,Interactor_A_ID,Interactor_B_ID
378,STM0587,STM1587
379,STM0168,STM1817
380,STM0653,STM3325
381,STM1300,STM3154
382,STM0181,STM3382
383,STM1406,STM1412
384,STM3371,STM3565
385,STM1633,STM2112
386,STM2617,STM2772
387,STM1445,STM2304
388,STM3000,STM3342
389,STM3111,STM4399
390,STM1545,STM3779
391,STM0277,STM0294
392,STM2237,STM2245
393,STM1989,STM2853
394,STM0802,STM0804
395,STM3787,STM3790
396,STM1111,STM3142
397,STM0379,STM0465
398,STM1657,STM3399
399,STM0807,STM0815
400,STM2252,STM3812
401,STM2662,STM3297
402,STM0734,STM2777
403,STM1224,STM2896
404,STM1272,STM1808
405,STM1634,STM1736
406,STM0893,STM2616
407,STM2245,STM2586
408,STM1637,STM4449
409,STM2773,STM4214
410,STM2166,STM3610
411,STM0974,STM2859
412,STM0544,STM3502
413,STM0192,STM1204
414,STM1457,STM2053
415,STM0047,STM2454
416,STM1371,STM4550
417,STM1437,STM4579
418,STM3636,STM4592
419,STM2099,STM2114
420,STM0941,STM2127
421,STM0558,STM3604
422,STM2867,STM4292
423,STM0146,STM1799
424,STM2586,STM4547
425,STM2768,STM4488
426,STM1807,STM3915
427,STM2781,STM4292
428,STM1765,STM4425
429,STM1336,STM3345
430,STM1599,STM4319
431,STM1007,STM4488
432,STM2845,STM2846
433,STM1947,STM1951
434,STM2344,STM4423
435,STM0311,STM1279
436,STM1298,STM1714
437,STM3905,STM4123
438,STM1298,STM2272
439,STM0305,STM2716
440,STM0371,STM2051
441,STM1406,STM2874
442,STM1370,STM1374
443,STM1187,STM2928
444,STM0092,STM4060
445,STM2102,STM3925
446,STM3243,STM3244
447,STM1111,STM3618
448,STM2703,STM2739
449,STM2787,STM4078
450,STM1401,STM1411
451,STM3303,STM3437
452,STM0023,STM4595
453,STM1257,STM1452
454,STM1172,STM1175
455,STM0902,STM2598
456,STM0804,STM1388
457,STM0651,STM4395
458,STM1889,STM2086
459,STM1775,STM3938
460,STM1391,STM1404
461,STM1174,STM1977
462,STM1174,STM2771
463,STM3434,STM3437
464,STM2248,STM2249
465,STM0690,STM0693
466,STM0523,STM3710
467,STM0847,STM2068
468,STM1005,STM2152
469,STM1595,STM1934
470,STM0511,STM0512
471,STM3443,STM3546
472,STM0863,STM0939
473,STM2203,STM2829
474,STM3247,STM3248
475,STM1863,STM3274
476,STM1088,STM1413
477,STM0182,STM3382
