,Interactor_A_ID,Interactor_B_ID,weight
525,STM0443,STM0012,191
526,STM0012,STM0447,669
527,STM0447,STM0012,669
528,STM0012,STM0460,181
529,STM0460,STM0012,181
530,STM0012,STM0461,181
531,STM0461,STM0012,181
532,STM0012,STM0487,808
533,STM0487,STM0012,808
534,STM0012,STM0488,261
535,STM0488,STM0012,261
536,STM0012,STM0529,252
537,STM0529,STM0012,252
538,STM0012,STM0530,252
539,STM0530,STM0012,252
540,STM0012,STM0536,344
541,STM0536,STM0012,344
542,STM0012,STM0567,391
543,STM0567,STM0012,391
544,STM0012,STM0603,237
545,STM0603,STM0012,237
546,STM0012,STM0608,339
547,STM0608,STM0012,339
548,STM0012,STM0616,286
549,STM0616,STM0012,286
550,STM0012,STM0656,391
551,STM0656,STM0012,391
552,STM0012,STM0658,391
553,STM0658,STM0012,391
554,STM0012,STM0687,636
555,STM0687,STM0012,636
556,STM0012,STM0691,265
557,STM0691,STM0012,265
558,STM0012,STM0734,265
559,STM0734,STM0012,265
560,STM0012,STM0735,252
561,STM0735,STM0012,252
562,STM0012,STM0738,293
563,STM0738,STM0012,293
564,STM0012,STM0739,252
565,STM0739,STM0012,252
566,STM0012,STM0903,255
567,STM0903,STM0012,255
568,STM0012,STM0944,219
569,STM0944,STM0012,219
570,STM0012,STM0945,622
571,STM0945,STM0012,622
572,STM0012,STM0972,216
573,STM0972,STM0012,216
574,STM0012,STM0981,278
575,STM0981,STM0012,278
576,STM0012,STM0984,181
577,STM0984,STM0012,181
578,STM0012,STM0998,290
579,STM0998,STM0012,290
580,STM0012,STM1022,255
581,STM1022,STM0012,255
582,STM0012,STM1070,721
583,STM1070,STM0012,721
584,STM0012,STM1094,371
585,STM1094,STM0012,371
586,STM0012,STM1097,300
587,STM1097,STM0012,300
588,STM0012,STM1101,211
589,STM1101,STM0012,211
590,STM0012,STM1112,779
591,STM1112,STM0012,779
592,STM0012,STM1116,289
593,STM1116,STM0012,289
594,STM0012,STM1185,219
595,STM1185,STM0012,219
596,STM0012,STM1221,524
597,STM1221,STM0012,524
598,STM0012,STM1228,269
599,STM1228,STM0012,269
600,STM0012,STM1290,372
601,STM1290,STM0012,372
602,STM0012,STM1318,592
603,STM1318,STM0012,592
604,STM0012,STM1341,480
605,STM1341,STM0012,480
606,STM0012,STM1365,206
607,STM1365,STM0012,206
608,STM0012,STM1369,623
609,STM1369,STM0012,623
610,STM0012,STM1378,266
611,STM1378,STM0012,266
612,STM0012,STM1433,653
613,STM1433,STM0012,653
614,STM0012,STM1469,396
615,STM1469,STM0012,396
616,STM0012,STM1566,558
617,STM1566,STM0012,558
618,STM0012,STM1641,311
619,STM1641,STM0012,311
620,STM0012,STM1669,213
621,STM1669,STM0012,213
622,STM0012,STM1690,179
623,STM1690,STM0012,179
624,STM0012,STM1784,396
625,STM1784,STM0012,396
626,STM0012,STM1812,211
627,STM1812,STM0012,211
628,STM0012,STM1830,623
629,STM1830,STM0012,623
630,STM0012,STM1853,276
631,STM1853,STM0012,276
632,STM0012,STM1888,266
633,STM1888,STM0012,266
634,STM0012,STM1901,235
635,STM1901,STM0012,235
636,STM0012,STM1931,297
637,STM1931,STM0012,297
638,STM0012,STM1959,623
639,STM1959,STM0012,623
640,STM0012,STM2167,206
641,STM2167,STM0012,206
642,STM0012,STM2177,211
643,STM2177,STM0012,211
644,STM0012,STM2248,289
645,STM2248,STM0012,289
646,STM0012,STM2272,278
647,STM2272,STM0012,278
648,STM0012,STM2331,237
649,STM2331,STM0012,237
650,STM0012,STM2346,254
651,STM2346,STM0012,254
652,STM0012,STM2348,623
653,STM2348,STM0012,623
654,STM0012,STM2402,237
655,STM2402,STM0012,237
656,STM0012,STM2428,328
657,STM2428,STM0012,328
658,STM0012,STM2526,154
659,STM2526,STM0012,154
660,STM0012,STM2532,213
661,STM2532,STM0012,213
662,STM0012,STM2539,278
663,STM2539,STM0012,278
664,STM0012,STM2540,771
665,STM2540,STM0012,771
666,STM0012,STM2541,623
667,STM2541,STM0012,623
668,STM0012,STM2542,843
669,STM2542,STM0012,843
670,STM0012,STM2546,302
671,STM2546,STM0012,302
672,STM0012,STM2548,252
673,STM2548,STM0012,252
674,STM0012,STM2581,314
675,STM2581,STM0012,314
676,STM0012,STM2651,293
677,STM2651,STM0012,293
678,STM0012,STM2660,970
679,STM2660,STM0012,970
680,STM0012,STM2681,975
681,STM2681,STM0012,975
682,STM0012,STM2682,402
683,STM2682,STM0012,402
684,STM0012,STM2771,623
